Ticker,Sektor,Subsektor,Industri,Subindustri,Period,2026,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
ADHI,Infrastruktur,Konstruksi Bangunan,Konstruksi Bangunan,Konstruksi Bangunan,Annualised,617 B,"(5,403 B)",(87 B),214 B,81 B,55 B,24 B,664 B,644 B,515 B,-,-,-,-,-,-,-,-
ADHI,Infrastruktur,Konstruksi Bangunan,Konstruksi Bangunan,Konstruksi Bangunan,TTM (Q1),"(5,249 B)","(5,403 B)",(87 B),214 B,81 B,55 B,24 B,664 B,644 B,515 B,-,-,-,-,-,-,-,-
ADHI,Infrastruktur,Konstruksi Bangunan,Konstruksi Bangunan,Konstruksi Bangunan,Div (TTM),-,-,-,-,-,-,-,18.64,36.18,28.95,-,-,-,-,-,-,-,-
ADHI,Infrastruktur,Konstruksi Bangunan,Konstruksi Bangunan,Konstruksi Bangunan,Payout Ratio,-,-,-,-,-,-,-,23.61%,47.22%,47.22%,-,-,-,-,-,-,-,-
ADHI,Infrastruktur,Konstruksi Bangunan,Konstruksi Bangunan,Konstruksi Bangunan,Div Yield,-,-,-,-,-,-,-,3.28%,2.83%,1.46%,-,-,-,-,-,-,-,-
ADMF,Keuangan,Jasa Pembiayaan,Pembiayaan Konsumen,Pembiayaan Konsumen,Q1,484 B,386 B,432 B,417 B,305 B,211 B,520 B,462 B,443 B,328 B,-,-,-,-,-,-,-,-
ADMF,Keuangan,Jasa Pembiayaan,Pembiayaan Konsumen,Pembiayaan Konsumen,Q2,-,216 B,333 B,401 B,357 B,262 B,77 B,487 B,431 B,354 B,-,-,-,-,-,-,-,-
ADMF,Keuangan,Jasa Pembiayaan,Pembiayaan Konsumen,Pembiayaan Konsumen,Q3,-,337 B,349 B,524 B,485 B,280 B,217 B,469 B,478 B,410 B,-,-,-,-,-,-,-,-
ADMF,Keuangan,Jasa Pembiayaan,Pembiayaan Konsumen,Pembiayaan Konsumen,Q4,-,606 B,696 B,601 B,460 B,459 B,211 B,690 B,463 B,317 B,-,-,-,-,-,-,-,-
ADMF,Keuangan,Jasa Pembiayaan,Pembiayaan Konsumen,Pembiayaan Konsumen,Annualised,"1,937 B","1,545 B","1,811 B","1,944 B","1,606 B","1,213 B","1,026 B","2,109 B","1,815 B","1,409 B",-,-,-,-,-,-,-,-
