province,bkpm_sector,idx_netincome_latest,idx_netincome_year,Peluang,PDRB_2024,Realisasi_Investasi,Kawasan_Industri
Jawa Tengah,PARIWISATA,2361177000000.0,2025,10 Proyek,,"PMA (US$ Ribu) : 19.223.591,5 | PMDN (Rp Juta) : 290.472.577,6",10 Kawasan
Jawa Tengah,PERTANIAN,34532000000000.0,2025,10 Proyek,,"PMA (US$ Ribu) : 19.223.591,5 | PMDN (Rp Juta) : 290.472.577,6",10 Kawasan
Jawa Tengah,PERINDUSTRIAN,165583339000000.0,2025,10 Proyek,,"PMA (US$ Ribu) : 19.223.591,5 | PMDN (Rp Juta) : 290.472.577,6",10 Kawasan
Jawa Tengah,PERIKANAN,10266634000000.0,2025,10 Proyek,,"PMA (US$ Ribu) : 19.223.591,5 | PMDN (Rp Juta) : 290.472.577,6",10 Kawasan
Jawa Tengah,KEUANGAN,260353000000000.0,2025,10 Proyek,,"PMA (US$ Ribu) : 19.223.591,5 | PMDN (Rp Juta) : 290.472.577,6",10 Kawasan
Jawa Tengah,PENGANGKUTAN,3183856000000.0,2025,10 Proyek,,"PMA (US$ Ribu) : 19.223.591,5 | PMDN (Rp Juta) : 290.472.577,6",10 Kawasan
Jawa Tengah,PERDAGANGAN,17749000000000.0,2025,10 Proyek,,"PMA (US$ Ribu) : 19.223.591,5 | PMDN (Rp Juta) : 290.472.577,6",10 Kawasan
Jawa Tengah,KONSTRUKSI,4725103000000.0,2025,10 Proyek,,"PMA (US$ Ribu) : 19.223.591,5 | PMDN (Rp Juta) : 290.472.577,6",10 Kawasan
Jawa Tengah,ENERGI,22543058000000.0,2025,10 Proyek,,"PMA (US$ Ribu) : 19.223.591,5 | PMDN (Rp Juta) : 290.472.577,6",10 Kawasan
Jawa Tengah,PERTAMBANGAN,93828770000000.0,2025,10 Proyek,,"PMA (US$ Ribu) : 19.223.591,5 | PMDN (Rp Juta) : 290.472.577,6",10 Kawasan
Daerah Istimewa Yogyakarta,PENGANGKUTAN,3183856000000.0,2025,2 Proyek,,"PMA (US$ Ribu) : 1.667.053.679.543,4 | PMDN (Rp Juta) : 6.770.695.039.676,1",1 Kawasan
Daerah Istimewa Yogyakarta,KONSTRUKSI,4725103000000.0,2025,2 Proyek,,"PMA (US$ Ribu) : 1.667.053.679.543,4 | PMDN (Rp Juta) : 6.770.695.039.676,1",1 Kawasan
Daerah Istimewa Yogyakarta,PARIWISATA,2361177000000.0,2025,2 Proyek,,"PMA (US$ Ribu) : 1.667.053.679.543,4 | PMDN (Rp Juta) : 6.770.695.039.676,1",1 Kawasan
Daerah Istimewa Yogyakarta,PERINDUSTRIAN,165583339000000.0,2025,2 Proyek,,"PMA (US$ Ribu) : 1.667.053.679.543,4 | PMDN (Rp Juta) : 6.770.695.039.676,1",1 Kawasan
Jawa Timur,PERINDUSTRIAN,165583339000000.0,2025,19 Proyek,Rp 1.783.789.520.000.000,"PMA (US$ Ribu) : 27.043.000,9 | PMDN (Rp Juta) : 548.401.200,5",11 Kawasan
Jawa Timur,PARIWISATA,2361177000000.0,2025,19 Proyek,Rp 1.783.789.520.000.000,"PMA (US$ Ribu) : 27.043.000,9 | PMDN (Rp Juta) : 548.401.200,5",11 Kawasan
Jawa Timur,ENERGI,22543058000000.0,2025,19 Proyek,Rp 1.783.789.520.000.000,"PMA (US$ Ribu) : 27.043.000,9 | PMDN (Rp Juta) : 548.401.200,5",11 Kawasan
Jawa Timur,PERDAGANGAN,17749000000000.0,2025,19 Proyek,Rp 1.783.789.520.000.000,"PMA (US$ Ribu) : 27.043.000,9 | PMDN (Rp Juta) : 548.401.200,5",11 Kawasan
Jawa Timur,PERTANIAN,34532000000000.0,2025,19 Proyek,Rp 1.783.789.520.000.000,"PMA (US$ Ribu) : 27.043.000,9 | PMDN (Rp Juta) : 548.401.200,5",11 Kawasan
Jawa Timur,PERIKANAN,10266634000000.0,2025,19 Proyek,Rp 1.783.789.520.000.000,"PMA (US$ Ribu) : 27.043.000,9 | PMDN (Rp Juta) : 548.401.200,5",11 Kawasan
Banten,KONSTRUKSI,4725103000000.0,2025,4 Proyek,,"PMA (US$ Ribu) : 40.582.672,22 | PMDN (Rp Juta) : 293.798.007,21",19 Kawasan
Banten,ENERGI,22543058000000.0,2025,4 Proyek,,"PMA (US$ Ribu) : 40.582.672,22 | PMDN (Rp Juta) : 293.798.007,21",19 Kawasan
Banten,PERINDUSTRIAN,165583339000000.0,2025,4 Proyek,,"PMA (US$ Ribu) : 40.582.672,22 | PMDN (Rp Juta) : 293.798.007,21",19 Kawasan
Banten,PENGANGKUTAN,3183856000000.0,2025,4 Proyek,,"PMA (US$ Ribu) : 40.582.672,22 | PMDN (Rp Juta) : 293.798.007,21",19 Kawasan
Bali,PARIWISATA,2361177000000.0,2025,2 Proyek,,"PMA (US$ Ribu) : 9.779.072,5 | PMDN (Rp Juta) : 71.877.555,3",2 Kawasan
Bali,PERIKANAN,10266634000000.0,2025,2 Proyek,,"PMA (US$ Ribu) : 9.779.072,5 | PMDN (Rp Juta) : 71.877.555,3",2 Kawasan
Bali,PERINDUSTRIAN,165583339000000.0,2025,2 Proyek,,"PMA (US$ Ribu) : 9.779.072,5 | PMDN (Rp Juta) : 71.877.555,3",2 Kawasan
Bali,ENERGI,22543058000000.0,2025,2 Proyek,,"PMA (US$ Ribu) : 9.779.072,5 | PMDN (Rp Juta) : 71.877.555,3",2 Kawasan
Bali,PERTANIAN,34532000000000.0,2025,2 Proyek,,"PMA (US$ Ribu) : 9.779.072,5 | PMDN (Rp Juta) : 71.877.555,3",2 Kawasan
Nusa Tenggara Barat,PERTANIAN,34532000000000.0,2025,6 Proyek,,"PMA (US$ Ribu) : 6.459.010,1 | PMDN (Rp Juta) : 166.522.265,6",1 Kawasan
Nusa Tenggara Barat,PERTAMBANGAN,93828770000000.0,2025,6 Proyek,,"PMA (US$ Ribu) : 6.459.010,1 | PMDN (Rp Juta) : 166.522.265,6",1 Kawasan
Nusa Tenggara Barat,PERIKANAN,10266634000000.0,2025,6 Proyek,,"PMA (US$ Ribu) : 6.459.010,1 | PMDN (Rp Juta) : 166.522.265,6",1 Kawasan
Nusa Tenggara Barat,PARIWISATA,2361177000000.0,2025,6 Proyek,,"PMA (US$ Ribu) : 6.459.010,1 | PMDN (Rp Juta) : 166.522.265,6",1 Kawasan
Nusa Tenggara Timur,PERIKANAN,10266634000000.0,2025,3 Proyek,,"PMA (US$ Ribu) : 1.064.246,9 | PMDN (Rp Juta) : 31.202.287,3",0 Kawasan
Nusa Tenggara Timur,PENGANGKUTAN,3183856000000.0,2025,3 Proyek,,"PMA (US$ Ribu) : 1.064.246,9 | PMDN (Rp Juta) : 31.202.287,3",0 Kawasan
Nusa Tenggara Timur,PERTANIAN,34532000000000.0,2025,3 Proyek,,"PMA (US$ Ribu) : 1.064.246,9 | PMDN (Rp Juta) : 31.202.287,3",0 Kawasan
Nusa Tenggara Timur,PERTAMBANGAN,93828770000000.0,2025,3 Proyek,,"PMA (US$ Ribu) : 1.064.246,9 | PMDN (Rp Juta) : 31.202.287,3",0 Kawasan
Kalimantan Barat,KONSTRUKSI,4725103000000.0,2025,3 Proyek,Rp 35.532.970.504,"PMA (US$ Ribu) : 7.787.471,82 | PMDN (Rp Juta) : 213.624.891.598,96",3 Kawasan
Kalimantan Barat,PERTANIAN,34532000000000.0,2025,3 Proyek,Rp 35.532.970.504,"PMA (US$ Ribu) : 7.787.471,82 | PMDN (Rp Juta) : 213.624.891.598,96",3 Kawasan
Kalimantan Barat,PERTAMBANGAN,93828770000000.0,2025,3 Proyek,Rp 35.532.970.504,"PMA (US$ Ribu) : 7.787.471,82 | PMDN (Rp Juta) : 213.624.891.598,96",3 Kawasan
Kalimantan Barat,PERIKANAN,10266634000000.0,2025,3 Proyek,Rp 35.532.970.504,"PMA (US$ Ribu) : 7.787.471,82 | PMDN (Rp Juta) : 213.624.891.598,96",3 Kawasan
Kalimantan Barat,PERINDUSTRIAN,165583339000000.0,2025,3 Proyek,Rp 35.532.970.504,"PMA (US$ Ribu) : 7.787.471,82 | PMDN (Rp Juta) : 213.624.891.598,96",3 Kawasan
Kalimantan Selatan,PERIKANAN,10266634000000.0,2025,3 Proyek,,"PMA (US$ Ribu) : 3.887.420,4 | PMDN (Rp Juta) : 88.176.890,3",6 Kawasan
Kalimantan Selatan,PENGANGKUTAN,3183856000000.0,2025,3 Proyek,,"PMA (US$ Ribu) : 3.887.420,4 | PMDN (Rp Juta) : 88.176.890,3",6 Kawasan
Kalimantan Selatan,PERDAGANGAN,17749000000000.0,2025,3 Proyek,,"PMA (US$ Ribu) : 3.887.420,4 | PMDN (Rp Juta) : 88.176.890,3",6 Kawasan
Kalimantan Selatan,KONSTRUKSI,4725103000000.0,2025,3 Proyek,,"PMA (US$ Ribu) : 3.887.420,4 | PMDN (Rp Juta) : 88.176.890,3",6 Kawasan
Kalimantan Selatan,ENERGI,22543058000000.0,2025,3 Proyek,,"PMA (US$ Ribu) : 3.887.420,4 | PMDN (Rp Juta) : 88.176.890,3",6 Kawasan
Kalimantan Selatan,PERTAMBANGAN,93828770000000.0,2025,3 Proyek,,"PMA (US$ Ribu) : 3.887.420,4 | PMDN (Rp Juta) : 88.176.890,3",6 Kawasan
Kalimantan Selatan,PERTANIAN,34532000000000.0,2025,3 Proyek,,"PMA (US$ Ribu) : 3.887.420,4 | PMDN (Rp Juta) : 88.176.890,3",6 Kawasan
